year,ALASKA JUNCTION,ALKI,BALLARD NORTH,BALLARD SOUTH,BELLTOWN,bitterlake,brighton/dunlap,capitol hill,central area/squire park,chinatown/international district,claremont/rainier vista,columbia city,commercial duwamish,commercial harbor island,downtown commercial,eastlake east,eastlake west,fauntleroy sw,first hill,fremont,genesee,georgetown,greenwood,high point,highland park,hillman city,judkins park/north beach,lakecity,lakewood/seward park,madison park,madrona/leschi,magnolia,mid beacon hill,miller park,montlake/portage bay,morgan,mount baker,new holly,north admiral,north beacon hill,north delridge,northgate,phinney ridge,pigeon point,pioneer square,queen anne,rainier beach,rainier view,roosevelt/ravenna,roxill/westwood/arbor,sandpoint,slu/cascade,sodo,south beacon hill,south delridge,south park,university,unknown,wallingford
2008,86,47,145,195,335,142,298,506,353,160,53,101,5,4,669,3,31,32,368,124,36,96,217,149,145,93,77,304,36,17,165,122,162,45,19,68,138,85,77,185,100,426,40,15,250,346,185,133,186,125,109,447,111,60,52,124,291,78,93
2009,108,65,170,230,357,176,298,451,342,150,88,112,4,0,652,5,48,24,343,177,41,96,208,161,139,90,64,290,33,13,164,107,168,50,27,78,142,69,92,195,101,435,56,16,242,310,171,122,170,129,140,411,100,78,45,153,280,61,109
2010,100,60,175,222,349,185,242,483,328,158,91,111,3,1,616,12,36,29,341,181,47,97,210,162,163,82,74,285,27,17,134,91,157,38,20,66,157,80,94,191,95,431,57,25,187,318,165,127,160,127,118,498,164,57,45,115,283,91,104
2011,112,42,158,184,341,224,252,508,255,164,68,80,6,11,714,11,28,23,307,130,38,109,217,153,159,68,55,323,34,13,130,94,131,34,21,68,113,88,104,185,107,434,40,13,246,291,145,110,175,147,119,472,141,62,42,135,301,72,86
2012,104,40,127,203,309,223,240,495,306,149,92,65,6,1,749,4,42,18,296,129,30,82,186,163,158,37,66,352,20,15,133,80,144,33,14,61,111,87,90,172,86,422,44,16,262,304,161,111,187,136,113,440,133,58,48,169,322,48,104
2013,100,34,120,224,312,226,219,569,267,150,82,84,4,0,862,11,25,30,303,103,35,96,201,106,128,51,87,310,20,10,121,93,134,47,20,60,108,80,84,158,78,388,39,11,258,278,155,126,131,151,98,417,113,48,42,123,291,59,103
2014,100,43,153,205,287,206,226,649,278,212,56,72,4,4,892,6,20,23,386,102,40,96,177,125,138,76,100,311,22,17,121,78,131,47,19,55,128,96,71,149,93,451,41,9,318,294,152,95,203,152,110,384,152,63,47,123,308,59,96
2015,77,40,148,244,227,197,209,757,272,242,80,63,7,2,973,11,18,19,393,116,36,102,191,133,100,64,108,337,23,12,110,87,105,45,18,53,129,84,63,158,98,492,32,5,351,301,166,92,188,152,153,471,166,56,49,109,332,74,94
2016,93,43,160,307,259,221,161,762,300,254,90,75,5,1,1004,3,27,24,411,128,38,110,207,158,129,43,115,330,29,13,100,110,118,26,29,55,138,72,87,172,123,494,42,7,334,334,195,74,163,137,147,440,231,50,54,97,330,79,99
2017,142,55,148,291,268,207,181,840,355,266,72,66,7,3,1157,7,26,31,474,120,24,114,209,155,120,56,124,303,16,11,133,94,103,50,30,73,140,77,70,161,112,577,35,5,337,372,138,92,206,110,172,488,202,38,54,92,337,118,123
2018,108,46,168,316,303,229,181,929,351,313,109,65,10,5,1213,8,27,28,592,128,33,139,216,155,125,60,151,355,21,14,139,108,132,67,21,54,145,68,75,151,105,616,43,7,422,398,190,92,226,154,154,559,226,53,52,117,405,107,112
2019,157,50,134,304,362,230,188,819,306,380,102,92,3,6,1169,7,41,28,669,118,27,151,193,150,115,49,111,335,31,19,103,133,134,64,31,83,171,60,79,229,114,474,37,8,441,401,163,85,221,159,195,562,185,47,43,91,464,91,95
2020,126,55,103,253,339,223,200,717,275,292,133,46,3,3,780,6,34,17,441,102,22,116,199,129,101,44,100,239,14,16,89,124,75,39,19,68,139,61,66,141,87,394,34,7,247,346,116,71,218,142,164,504,123,43,26,78,391,174,71
